tweet_id|text|date_id
34| colombia      de recuperación y     de mortalidad  de los    casos  se han recuperado    y han fallecido     coronavirus       https   t co |308
35| colombia      de recuperación y     de mortalidad  de los    casos  se han recuperado    y han fallecido     coronavirus       https   t co |308
36| colombia      de recuperación y     de mortalidad  de los    casos  se han recuperado    y han fallecido     coronavirus       https   t co coatssujrq|308
37| colombia      de recuperación y     de mortalidad  de los    casos  se han recuperado    y han fallecido     coronavirus       https   t co |308
38| colombia      de recuperación y     de mortalidad  de los    casos  se han recuperado    y han fallecido     coronavirus       https   t co |308
39|gabinete de seguridad  sobre fronteras  resolvió abrirlas de forma parcial a finales de enero de    elcomerciocom  ecuador link https   t co   perú  ecuador  seguridad  colombia  inseguridad  fronteras  ministerio de defensa   https   t co oakzkgvhwg|308
40| ahora los  casos importados son     procedentes de colombia  procedentes de perú  procedentes de panamá  con estas cifras  venezuela alcanza los   casos de  |308
41|los espero mañana  a  las   a m   en este diálogo franco sobre las vacunas   organizado por  amchamcol con  fifarmalatam  afidro colombia ⬇️⬇️⬇️ https   t co |308
42|🇲🇽 méxico vs el mundo 🌎  defunciones por millón de habitantes  🇧🇷 brasil   🇲🇽 méxico   🇨🇴 colombia   🇺🇸 estados unidos   🇵🇪 perú    🇦🇷 argentina    fuente  https   t co        covid   covid     quédateencasa https   t co |308
43|🇲🇽 méxico vs el mundo 🌎  casos por millón de habitantes  🇧🇷 brasil    🇲🇽 méxico    🇨🇴 colombia    🇺🇸 estados unidos    🇵🇪 perú    🇦🇷 argentina     fuente  https   t co        covid   covid     quédateencasa https   t co ywgxpqjkeq|308
44|🇲🇽 méxico vs el mundo 🌎  pruebas por cada mil habitantes  🇧🇷 brasil   🇲🇽 méxico   🇨🇴 colombia   🇺🇸 estados unidos   🇵🇪 perú   🇩🇪 alemania    fuente  https   t co        covid   covid     quédateencasa https   t co qgaynzvyjn|308
45|rt  covidmexico  🇲🇽 méxico vs el mundo 🌎  defunciones por millón de habitantes  🇧🇷 brasil   🇲🇽 méxico   🇨🇴 colombia   🇺🇸 estados u|308
46|rt  covidmexico  🇲🇽 méxico vs el mundo 🌎  casos por millón de habitantes  🇧🇷 brasil    🇲🇽 méxico    🇨🇴 colombia    🇺🇸 estados|308
47|en el informe de hoy  bogota aumentó sus casos    los departamentos con mayor aumento fueron  boyaca    y  caldas     a nivel nacional el aumento fue de    las muertes aumentaron    los recuperados aumentaron     colombia   https   t co |308
48|según  alcaldiademed  la ciudad es la ° capital de  colombia con menor tasa de  desempleo  la última encuesta de  dane colombia muestra para  medellín un    en desocupación   alejandroariasg afirmó que se han recuperado  de  empleos perdidos durante la pandemia del  |308
49| laverdad  el único país donde no hubo pico de   sino meseta de    colombia  tan raro eso|308
50|rt  covidmexico  🇲🇽 méxico vs el mundo 🌎  pruebas por cada mil habitantes  🇧🇷 brasil   🇲🇽 méxico   🇨🇴 colombia   🇺🇸 estados unidos |308
51|⛑    coronavirus  datogeb  países con mas casos de covid  en el mundo       estados unidos    india    brasil    rusia    francia    españa    reino unido    italia    argentina    colombia https   t co |308
52| atmdelat  moralesduleudo  se resuelve en julio aquí en colombia  guarden este tweet|308
53|casos de   en al y el caribe a las   gmt del  de diciembre  jhu región     brasil     argentina     colombia     méxico     perú    chile    ecuador    panamá    bolivia    rep  dominicana    https   t co |308
54|el ministerio de salud y protección social de  colombia informó el martes que el número de personas contagiadas por la   ascendió en el último día a    casos  mientras que los casos de pacientes fallecidos subieron a   fallecidos https   t co  https   t co hicaazmwgp|308
55|rt  xhespanol  el ministerio de salud y protección social de  colombia informó el martes que el número de personas contagiadas por la  covi|308
56| ledoleon    fruizo  juanlozano r    anyarato  jc parrard  luisluperdomo    cumbieropanama  eugeniatunja  amparitoccc    fonsecaradio    angi molina  angelaporritas  adehaquiz  fundacionacn  julietachalarca  jmesapinto  jader silvera  gjjuliet    ana cuesta  maryaristizabal    abrilschreiber  jafalconblasco  rafaguarin  jaimecastroc  el  joelosteen  angelaromeroch  elespectador  colombia hist  ricardoferro   nairoquinco  vueltaespana  uranrigoberto  guillermobotero  colombia  minsaludcol  canalrcn  noticiasrcn  lafm el grupo estadounidense  pfizer y su socio alemán  biontech group expectantes ante la agencia estadounidense de medicamentos  fda por solicitud de autorización para comercialización de su vacuna contra     afpespanol https   t co  📹 afp  https   t co |308
57|buena contribución al debate académico y de política pública que se lleva a cabo en este momento en colombia en torno a la  sciencediplomacy con ocasión del acceso a la vacuna contra el   https   t co |308
58|coronavirus en  latinoamerica miércoles  diciembre     hora i canarias    casos en  chile perú bolivia el salvador costa rica guatemala brasil paraguay república dominicana venezuela honduras méxico colombia uruguay argentina nicaragua ecuador cuba haití panamá  https   t co |308
59|la compañía de danza del teatro mayor debutará hoy en el escenario principal de su sede con el espectáculo lilith  el despertar y retorno  luego de la cuarentena impuesta por la pandemia de la     https   t co  https   t co |308
60| coronavirus colombia reportó   casos nuevos de coronavirus este martes   https   t co |308
