employment_id|TGP|TO|TD|Ocupados|Desocupados|Inactivos|date_id
0|60.17927034533053|52.75334969385366|12.339665484251041|20859.941802247162|2936.387424056997|15746.073148719952|32
1|51.475100782637064|41.21360744626435|19.934867888270364|16374.04323795364|4076.86067750349|19278.79763833831|63
2|55.38743039261133|43.697297072799934|21.10611241024616|17375.35139792223|4648.346417900466|17739.291114533342|93
3|57.296646387029384|45.44390246781118|20.686627693975097|18214.64579445819|4750.770080406264|17116.18980889034|124
4|57.2244544343561|45.95240124689406|19.697965317244837|18191.4977208579|4462.346347634325|16933.853695370482|154
5|59.22387248361019|49.164612821875586|16.985143388788767|19608.65566812786|4012.002691811646|16263.01923388276|185
6|60.23812040564388|50.50684973027714|16.15467184207659|20172.66384572828|3886.713449250983|15881.07425457651|216
7|60.971122831568834|51.416430139375414|15.670849163444167|20626.31968438279|3832.9799525364633|15656.903741010068|246
